huC4A276,13,13,blue green,blue green
hu488F89,8,8,light hazel grey,light hazel grey
hu20289E,18,18,brown,same
huDEF76C,7,9,bluegreenish hazel,same
hu602487,2,2,Blue,Same
hu5AE84D,19,19,brown - they were much darker when I was younger,brown - they were much darker when I was younger
huF1DC30,20,20,brown,brown
hu0D09BD,7,7,blue with darker blue ring and center,same
huC244BC,19,19,brown,brown
hu4CA5B9,20,20,hazel,same
hu839A25,16,16,"Green brown center, sometimes more brown seemingly changing with mood",Same
hu2632E4,4,4,blue,same
hu2632E4,4,4,blue,same
hu50E540,19,19,Brown with slight yellow ring outside,same
hu1BD549,21,21,"Dark brown, some yellow flecks","Dark brown, some yellow flecks"
hu23DF74,9,8,Hazel,same
hu8D8CFA,7,7,blue,blue
huD3A569,1,1,blue,blue
hu43860C,11,11,green with gold flecks,same
huB220C0,2,2,blue,blue
hu005EB9,21,21,dark brown with black ring,dark brown with black ring
hu1ED23F,4,4,blue,blue
hu4BE6F2,13,13,hazel with green and brown flecks,hazel with green and brown flecks
huB1488D,4,4,blue,blue
hu9BE3A3,14,14,hazel,same
hu101EF8,15,15,Radial stripes of multi colors.  Looks brown from a distance.,Radial stripes of multi colors.  Looks brown from a distance.
hu033AF6,20,20,Brown iris with darker brown dots/spots,same
hu0B9C47,5,5,blue-grey,same
hu0B9C47,5,5,blue-grey,same
hu1BF153,14,14,Blue,Same
hu3D303A,2,2,grayish-blue,same
huED0F40,14,15,"Overall brown, with thin blue ring at outer i",Same overall brown color as left eye
hu62F5A1,14,14,"grayish outside, then light brown, then black iris",same
hu24C863,18,18,brown,brown
hu836D0A,10,10,"green, dark ring around flecks of gold",same
hu3E2659,4,4,Dark blue gray with a slight tinge of a hazel ring near the puple,same
hu26DA5F,18,18,,
huB7EEC5,7,7,Blue with ring,Blue with ring
hu4C7B30,14,14,"green, hazel","green, hazel"
hu91FB6B,8,8,blue or blue-green,same
hu151DB6,9,9,hazel,hazel
hu39AD6F,7,7,,
hu172277,13,13,blue/green with orange square/ring in center,same
hu9CEB09,8,8,Grey blue with speckles of green and yellow,same
hu49F623,24,24,brown,brown
hu49F623,24,24,brown,brown
hu3B173B,14,14,green with amber flecks,same
hu11AE54,13,13,Green,Green
huD81F3D,21,22,dark brown with a ring,dark brown with a ring
huD50F73,21,21,Brown,Brown
huC434ED,4,4,Blue,Blue
huAF3DDC,21,21,brown,brown
huC3B707,8,8,green,same
huEDF7DA,23,23,dark brown little variation,dark brown little variation
hu4040B8,16,16,same,same
hu3CEAE6,7,7,blue-grey,blue-grey
hu9D7653,23,23,brown,brown
hu5FF6B0,4,4,blue,blue
huA5A1D1,6,6,blue grey,blue grey
hu299FA0,11,11,hazel,same
hu5D9DE3,13,13,green,same
huCBDC6D,1,1,Blue,Blue
huC0FD53,16,16,Green outline with hazel center,Green outline with hazel center
huC0FD53,16,16,Green outline with hazel center,Green outline with hazel center
huA1D523,16,16,Brown,Same
hu78E4B0,10,10,"Green with dark green outer ring, some yellowish-green areas with darker green flecks","Green with dark green outer ring, some yellowish-green"
hu9A103C,17,18,brown with a greenish edge,"same, but darker"
hu390F07,11,11,green,same
huE9D25C,1,1,blue,same
hu037E20,21,21,,
hu776C1D,1,1,"blue, with ring, dark blue lines",same
hu646527,4,4,Blue with grey flecks,same
hu5408F9,14,14,hazel,same
hu3C8DE9,4,3,blue,blue
huF40F46,11,11,green with gold ring,same
hu6A3E89,,,,
hu35389E,13,13,hazel,hazel
huD5DD1B,15,15,,
huF85C6E,20,20,BROWN,BROWN
hu50D3EC,9,9,,
hu094BE5,14,14,brown,same
hu365511,14,14,hazel,same
huE3A56D,9,11,,
hu3384B3,,,,
hu9C0B77,15,15,light brown,same
huB573AE,9,9,blue/green,same
huEF6271,4,4,Blue,Blue
huBADF69,20,20,Hazel,Same
hu69BD84,14,14,More green than hazel,Same
hu5C5672,3,3,Blue,Same
hu68B66A,14,14,light brown,light brown
huE3FBCD,8,8,,
huB4C1A1,18,18,Brown,same
huE8E021,13,14,green,"same, bit darker"
hu8E6CC6,20,20,brown,brown
huD649F1,9,9,Hazel,Hazel
hu065B67,14,14,"orange-brown inside, then green, then blue-gray ring on the outside",same
huD22AB8,14,14,olive green with a brown bloych,olive green
hu5A7A1A,18,18,,
huA38896,1,1,blue,blue 
hu96FC5C,15,15,Green/brown,same
hu66E27A,1,1,hazel,hazel
hu4E82B4,3,3,Blue,Blue with a speck of brown
huE11C66,12,12,green,same
huD59A33,14,14,hazel,hazel
hu5F0DCB,21,21,brown,brown
hu5917F3,7,7,blue with light colored streaks and a concentric band of dark spots,same
huB1D7BD,11,11,green with light brown inner ring and bluish outer ring,green with light brown inner ring and bluish outer ring
hu3F83D2,18,18,amber,amber
hu5FD75D,4,4,Blue,Same
hu442A0A,8,8,grey with light yellow,grey with light yellow
hu96713F,10,10,green,same
hu466B05,7,7,dlight blue with central yellow starburst and dark blue thin outer rim,same
hu6157D1,7,8,hazel green,same
huB1F492,7,7,"med/light, blue/green with a fairly wide and high contrast limbal ring and a tiny bit of yellow around the pupil",same
hu2F62E7,13,13,green with brown,same
huE9E777,3,4,bluish gray,bluish gray
huEAE6C8,7,7,Grey/blue ring with black and white lines radiating through blue iris with a small amt of yellowish around the pupil,
hu3D46CB,24,24,,
hu647F28,14,14,hazel,same
hu2AB2C8,11,11,green,same
hu735D1C,15,15,hazel,hazel
hu8E82F1,20,20,Brown,Brown
hu97745F,7,7,green-blue,same
hu7FC773,7,7,Between sky blue and a turqouse.,Between sky blue and a turqouse.
hu3C0577,7,8,blue with hint of green,same
hu3C0577,7,8,blue with hint of green,same
hu48E77B,13,,,same
huA7FD13,7,7,green,green
hu3C6B72,7,7,blue with green/yellow ring around pupil,same
hu60EF43,2,2,blue with slightly darker half ring along outer edge,same
huD588DE,17,17,brown,same
hu9E356F,8,8,,
huC4C686,8,8,"blue, green, grey",same
hu1E14AB,,,Hazel,Hazel
hu79C24D,22,22,Dark brown,Same
hu52F6FF,20,20,"brown with darker ring around the edge, some lighter spots if you look close",same
hu6F6F6C,13,13,Green with dark blue ring,Same
huC1BF3B,12,12,Grayish hazel ,same 
hu925B56,10,10,"blue-green-grey; outer ring a darker, more defined blue than pic; more pronounced pigment spots, which are yellow/gold not brown",same
hu020262,15,15,brown and green hazel,same
hu606C9D,23,23,nearly black,nearly black
hu5C39A6,11,11,Blue-grey,same
hu315025,22,22,brown,brown
hu1A4F2E,19,19,hazel with blue ring on outer iris,same
hu8016AE,18,18,brown with hazel flecks,same
hu016B28,23,23,brown,brown
huE30103,21,21,Dark Brown,Same
huC9DD1C,14,14,Green and brown,same
huED93F6,14,14,green with amber internal ring,same
huCD8F76,4,4,blue,same
huADB22D,4,4,blue,same
huA84F63,18,18,"chestnut brown, navy blue ring",same
hu91ACB9,4,4,blue,same
hu2F1691,13,13,hazel,hazel
hu175AB0,7,7,Blue grey with darker blue ring,Blue grey with darker blue ring
hu175AB0,7,7,Blue grey with darker blue ring,Blue grey with darker blue ring
huE81979,4,3,Grey,same
hu79F922,8,8,Blue,Blue
huEFBA44,20,20,Brown,Brown
huFBFF8B,7,7,"blue, grey, sometimes appears more green",same
hu3CCE4B,13,13,green,green
huEFD66A,1,1,blue with a sunflower around the iris,same
hu21815E,8,8,,
hu45515D,14,14,hazel,same
hu25D82D,21,21,solid brown,solid brown
hu5D0BAB,1,1,blue,blue
hu18D324,7,7,blue-grey with green flecks and a ring,same
huAF3C63,21,21,brown,same
hu6FECE9,14,14,brown,brown
hu2C915E,4,4,,
hu9B93D0,3,4,"green, blue, flecks,  some grey",same
huF160AA,13,13,hazel,hazel
huDECFEF,11,11,Hazel,same
hu40FD50,21,21,brown,brown
hu40FD50,21,21,brown,brown
hu3C9326,22,22,Dark brown,Dark brown
huB6474D,9,9,Grey with flecks,Same
huBBDC10,22,22,brown,brown
huDA2757,8,8,blue with a little green on the pupil edge,blue with a little green on the pupil edge
huF33303,7,8,blue with a dark ring around the edge,same
huC678E8,4,4,brue,brue
huD2F14E,13,13,Hazel,Hazel
huB4E868,18,18,brown,brown
huB96844,16,16,#16 is as close as it gets,#16 is as close as it gets
hu092771,10,10,green with yellow flecks,green with yellow flecks
huE02FAC,13,13,green,same
huD00199,13,13,brown to hazel,same
huFE9B93,17,17,Brown,Brown
hu569A8F,19,19,brown,same
hu9B0A6D,18,18,brown,same
huDAE2DF,20,20,brown,brown
hu15CCF3,6,6,blue with darker blue/green ring,same
hu522703,23,23,Dark Brown,same
hu522703,23,23,,
huD758F7,20,20,,
hu4FE0D1,6,6,Blue with some green,Same
huD419A3,3,1,Blue,Blue
huA824FA,20,20,Brown,Brown
hu6BF6F9,18,18,blue with brown flecks,same
hu6BF6F9,,,,
huD76A20,13,13,Green with Blue,Green with Blue
huA5B645,5,5,blue-grey with green varigation,same
huB95FD7,17,17,Brown,Brown
huD85057,8,8,grey,same
hu665667,16,16,greenish brown,same
hu52B7E5,14,14,green with brown around iris,same
hu5C5920,4,6,Hazelish blue,Hazelish blue
huCF0C0F,6,6,blue-grey,blue-grey
huD0D2F9,9,11,,
huCB92AC,8,8,blue/green/gray,same
hu0C8573,22,22,Continuous shade of brown with darker stripes and rings,"Same same, but different."
hu983A64,13,13,Greyish blue with brown ring around pupil. Looks green from a distance,Same
hu0C0779,18,18,Brown with flecks,Same
huE35226,1,1,Blue,Blue
huF84457,11,11,Hazel,Hazel
huD8A898,14,14,green,same
hu919BE3,2,5,dark blue,dark blue 
huED962A,4,4,blue,same
huB19789,22,22,"both eyes are a dark bown with green, gold markings in a almost perfect circular sun-rays like pattern ",same
hu8ACB28,4,4,blue,same
hu0739F4,20,20,Cinnamon honey,Same
hu88F5BD,,,,
hu9E6329,20,20,brown,same
hu199EF4,7,7,Greyish Blue with darker outer ring,same
hu84D25C,4,4,"Blue-grey, light streaks outside to center. RGB color (78,127,158) is closest average color",Same
hu5A306E,13,13,green with brown flecks,green with brown flecks
huAFA81C,15,15,green-brown hazel,same
hu47CCA7,3,3,blue/grey with a slightly darker ring around the outside,same
hu4FE12A,17,17,brown,brown
hu5D4AD0,4,4,Blue,Blue
hu093F8B,14,14,hazel ,same
huF45021,11,11,,
hu27340D,5,6,blue/green,same (maybe a little lighter)
hu46528F,22,22,dark brown,same
hu77C5CB,7,7,grayish blue,same
hu08334F,10,10,green,green
hu474D66,21,21,Deep Brown,Deep Brown
hu0CA6C6,5,5,Few flecks,Few flecks
hu7DAFF3,11,11,Green with gold ring near pupil,same as left eye
huDCF4FA,13,13,hazel,hazel
huF21DD4,21,21,Dark brown fairly uniform ,Same
huCE2801,14,14,brown with green ring,brown with green ring
huF421B2,14,14,hazel,hazel
hu6664F3,17,18,hazel,same
hu92F8E1,4,4,Blue,Same
huB746CE,1,1,blue,blue
huA939D6,15,15,greenish brown,same
hu9B82D1,9,10,green with single brown fleck,green
huDBF064,4,4,blue,same
huB7D6B1,9,9,Green with ring of light brown around pupil,Same
huC7AA8A,17,18,brown,brown
hu12D2A3,2,2,Very light blue,Very light blue
hu77CC58,13,13,Hazel,Hazel
huAF458E,10,10,Medium Green no flecks,SAME
hu453E0E,13,13,green with gold flecks and a gray ring,same
hu7E309A,16,16,hazel,same
hu7719F7,4,3,,
huDF9053,24,24,brown,same
huD862CE,18,18,,
huA90CA9,1,1,Aqua with a white ring around outside,Aqua with a white ring around the outside
hu73BFBC,10,10,green with dark blue ring,same
hu329CC4,7,7,blue with ring,blue with ring
huE7D8FA,13,13,green,same
hu43294F,8,11,light blue-green changes colors,light green-blue changes colors
huD70430,7,7,"Blue, dark blue outer ring, small inner ring light brown","Blue, dark blue outer ring, small inner ring light brown"
hu2F6B37,3,3,blue,blue
hu9E8595,6,6,blue grey with brownish center ring,blue grey with brownish center ring
hu26C7EE,13,13,green,green
hu26C7EE,13,13,green,green
hu5DE8CD,13,13,greenish gray,same
huB33D36,23,23,Black,Same
huC3C30D,14,14,hazel,hazel
huF6B0B1,1,1,Grey,Same
hu54EEB2,14,14,brown around the pupil with a green ring on the outside,same
hu057C7D,4,4,Blue/grey,same
huD828D2,7,7,blue or grey,same
hu1DD730,21,21,dark brown,dark brown
huF58F40,7,7,Kaleidoscope,Kaleidoscope
huDCB7AA,8,8,blue,blue
hu8B35DE,3,3,"blue, bits of brown near pupil ",same
huF9F779,14,14,"Hazel, browner center, green outer ring with dark brown flecks","Same, Hazel, but smaller green outer ring, and no flecks"
huFE71F3,13,13,hazel,same
hu77957D,16,14,hazel with flecks,hazel
hu7B4393,8,8,blue with green band around pupil and couple brown spots,blue with green band around pupil and couple brown spots
hu99AC8D,20,20,dark brown,same
hu267A10,10,10,yellow-green with flecks of amber with a few black spots,"same,without the black spots"
huBE37B9,14,14,"Hazel/green, flecks, brown around pupil",same
huF33837,4,4,blue vibrant,blue vibrant
hu1BF153,4,4,Blue,Blue
